name,service_area,craft_type,phone,email,website,address,notes,source,status,score,latitude,longitude,scraped_at,category,quality_score,profile,enriched_by,type,match_key
"Custom Woodwork, Inc.",Richmond,craft:carpenter,,,http://www.customwoodworkinc.com/,1719 Arlington Road,,OSM_Auto,scraped,8.0,37.5751683,-77.464573,2025-09-09T13:04:45.768376,,,,,contractor,
Heres Renovations,Richmond Hill,craft:carpenter,,,http://www.heresrenovations.com/,2267 Bethesda Sideroad,,OSM_Auto,scraped,8.0,43.9604841,-79.3810834,2025-09-09T13:05:01.710909,,,,,contractor,
Kanata Stoneworks,Nepean,craft:stonemason,,,,44 Iber Road,,OSM_Auto,scraped,5.0,45.2804807,-75.9092818,2025-09-09T13:05:31.182034,,,,,contractor,
DMA Masonry,Nepean,craft:stonemason,,,,56 Bentley Avenue,,OSM_Auto,scraped,5.0,45.3331966,-75.7170664,2025-09-09T13:05:31.182034,,,,,contractor,
Ottawa Tool Library,Nepean,craft:carpenter,+1 613-868-0178,,https://ottawatoollibrary.com/,877 Boyd Avenue,,OSM_Auto,scraped,10.0,45.3758732,-75.7500914,2025-09-09T13:05:35.162350,,,,,contractor,
The Cabinet Connection,Nepean,craft:carpenter,,,,1523 Laperriere Avenue,,OSM_Auto,scraped,5.0,45.3782783,-75.7437855,2025-09-09T13:05:35.162350,,,,,contractor,
Heartwood Kitchen,Nepean,craft:carpenter,,,,210 Colonnade Road South,,OSM_Auto,scraped,5.0,45.3413248,-75.718503,2025-09-09T13:05:35.162350,,,,,contractor,
Vily Kozar,Nepean,craft:carpenter,,,,54 Cleopatra Drive,,OSM_Auto,scraped,5.0,45.325425,-75.7251006,2025-09-09T13:05:35.162350,,,,,contractor,
Raywal Kitchens,Nepean,craft:carpenter,,,,200 Colonnade Road South,,OSM_Auto,scraped,5.0,45.3417055,-75.7174713,2025-09-09T13:05:35.162350,,,,,contractor,
Old World,Guelph,craft:carpenter,,,,460 York Road,,OSM_Auto,scraped,5.0,43.5507097,-80.2259022,2025-09-09T14:06:48.475089,,,,,contractor,
The Stairworks,Guelph,craft:carpenter,+1-519-823-1921,,https://stairworks.ca/,295 Southgate Drive,,OSM_Auto,scraped,10.0,43.5022553,-80.2161377,2025-09-09T14:06:48.475089,,,,,contractor,
Pura Vida Wood Co,Guelph,craft:carpenter,,,https://puravidawoodco.com/,490 York Road,,OSM_Auto,scraped,8.0,43.5518389,-80.2255152,2025-09-09T14:06:48.475089,,,,,contractor,
Painters Place,Burlington,shop:hardware,,,,,,OSM_Auto,scraped,5.0,43.4654023,-79.7428522,2025-09-09T02:36:26.526009,general_contractor,5.0,Painters Place provides general contractor services in Burlington.,heuristic,,
AXYZ International,Burlington,shop:hardware,,,https://www.axyz.com/,3100 Harvester Road,,OSM_Auto,scraped,8.0,43.3526913,-79.7972792,2025-09-09T02:36:26.526009,general_contractor,9.0,AXYZ International provides general contractor services in Burlington.,heuristic,,
Silver Oak Roofing,Oakville,craft:roofer,+1 (905) 337-8387,,https://www.silveroakroofing.ca/,1075 North Service Road West,,OSM_Auto,scraped,10.0,43.4373207,-79.7127006,2025-09-09T02:35:31.495245,general_contractor,10.0,Silver Oak Roofing provides general contractor services in Oakville.,heuristic,,
Painters Place,Oakville,shop:hardware,,,,,,OSM_Auto,scraped,5.0,43.4654023,-79.7428522,2025-09-09T02:35:38.370113,general_contractor,5.0,Painters Place provides general contractor services in Oakville.,heuristic,,
Northminster United Church,Oshawa,building:material:stone,,,,,,OSM_Auto,scraped,5.0,43.9153205,-78.8717098,2025-09-09T16:43:22.389218,stone_masonry,5.0,Northminster United Church provides stone masonry services in Oshawa.,heuristic,,
The Co-Operators,Oshawa,building:material:wood,,,,,,OSM_Auto,scraped,5.0,43.9027564,-78.8686603,2025-09-09T16:43:33.747387,general_contractor,5.0,The Co-Operators provides general contractor services in Oshawa.,heuristic,,
Detail Roofing,Brampton,craft:roofer,+1 (905) 230-2969,detail@detailroof.ca,https://detailroof.ca/,5700 Timberlea Boulevard,,OSM_Auto,scraped,12.0,43.6387098,-79.65152,2025-09-09T02:31:59.985020,general_contractor,10.0,Detail Roofing provides general contractor services in Brampton.,heuristic,,
Water Work Kingdom,Brampton,shop:hardware,,,,,,OSM_Auto,scraped,5.0,43.7730348,-79.6614025,2025-09-09T02:32:07.433931,general_contractor,5.0,Water Work Kingdom provides general contractor services in Brampton.,heuristic,,
KBC Tools & Machinery,Brampton,shop:hardware,+1 (905) 564-6600,,,6200 Kennedy Road,,OSM_Auto,scraped,7.0,43.6403484,-79.675253,2025-09-09T02:32:07.433931,general_contractor,8.0,KBC Tools & Machinery provides general contractor services in Brampton.,heuristic,,
Port Nelson United Church,Hamilton,building:material:stone,,,http://www.portnelsonunitedchurch.com/,3132 South Drive,,OSM_Auto,scraped,8.0,43.3387978,-79.7775443,2025-09-09T16:44:04.162892,stone_masonry,9.0,Port Nelson United Church provides stone masonry services in Hamilton.,heuristic,,
LiUNA Station,Hamilton,building:material:stone,,,,360 James Street North,,OSM_Auto,scraped,5.0,43.2658616,-79.8640934,2025-09-09T16:44:04.162892,stone_masonry,5.0,LiUNA Station provides stone masonry services in Hamilton.,heuristic,,
St. John's Roman Catholic Church,Hamilton,building:material:stone,,,,,,OSM_Auto,scraped,5.0,43.331451,-79.8051986,2025-09-09T16:44:04.162892,stone_masonry,5.0,St. John's Roman Catholic Church provides stone masonry services in Hamilton.,heuristic,,
Christ's Church Anglican Cathedral,Hamilton,building:material:stone,,,,252 James Street North,,OSM_Auto,scraped,5.0,43.262924,-79.8656924,2025-09-09T16:44:04.162892,stone_masonry,5.0,Christ's Church Anglican Cathedral provides stone masonry services in Hamilton.,heuristic,,
Hexagon,Hamilton,construction:yes,,,https://www.hexagonrestaurant.com/,,,OSM_Auto,scraped,8.0,43.4455606,-79.6675775,2025-09-09T16:44:27.361475,construction,9.0,Hexagon provides construction services in Hamilton.,heuristic,,
Odd Burger,Hamilton,construction:yes,(905) 815-0001,,https://oddburger.com/,A2-280 North Service Road West,,OSM_Auto,scraped,10.0,43.4469367,-79.7054866,2025-09-09T16:44:27.361475,construction,10.0,Odd Burger provides construction services in Hamilton.,heuristic,,
Harbourside Way,Hamilton,construction:yes,,,,,,OSM_Auto,scraped,5.0,43.2769983,-79.857987,2025-09-09T16:44:27.361475,construction,5.0,Harbourside Way provides construction services in Hamilton.,heuristic,,
Preserve West,Hamilton,construction:yes,,,,,,OSM_Auto,scraped,5.0,43.4569286,-79.7599892,2025-09-09T16:44:27.361475,construction,5.0,Preserve West provides construction services in Hamilton.,heuristic,,
FTR Contracting,Richmond Hill,craft:builder,+1 (647) 406-2226,ftrcontractings@gmail.com,tradersolutionbusiness.com/profilepage/location/c73e3203-cce9-433b-bdf3-078e4ae54372/ftr-contracting,7 Hayfield Crescent,,OSM_Auto,scraped,12.0,43.9120032,-79.4726819,2025-09-09T02:34:27.578072,general_contractor,10.0,FTR Contracting provides general contractor services in Richmond Hill.,heuristic,,FTR Contracting|Richmond Hill
Home Hardware,Richmond Hill,shop:hardware,+1 (905) 773-5428,,,125 King Road,,OSM_Auto,scraped,7.0,43.9429691,-79.4588953,2025-09-09T02:34:50.631007,general_contractor,8.0,Home Hardware provides general contractor services in Richmond Hill.,heuristic,,Home Hardware|Richmond Hill
Aspen Ridge Homes,Richmond Hill,office:construction_company,,,,,,OSM_Auto,scraped,5.0,43.8307212,-79.4809507,2025-09-09T02:34:58.772551,construction,5.0,Aspen Ridge Homes provides construction services in Richmond Hill.,heuristic,,Aspen Ridge Homes|Richmond Hill
Edmonton Granite Memorials (South Location),Edmonton,craft:stonemason,+1 (825) 401-5608,,https://edmontongranite.ca/,6005 97 Street NW,,OSM_Auto,scraped,10.0,53.4960849,-113.4786885,2025-09-09T16:46:26.236179,stone_masonry,10.0,Edmonton Granite Memorials (South Location) provides stone masonry services in Edmonton.,heuristic,,Edmonton Granite Memorials (South Location)|Edmonton
Stoneworks Granite & Quartz,Edmonton,craft:stonemason,,,,,,OSM_Auto,scraped,5.0,53.4877366,-113.4824283,2025-09-09T16:46:26.236179,stone_masonry,5.0,Stoneworks Granite & Quartz provides stone masonry services in Edmonton.,heuristic,,Stoneworks Granite & Quartz|Edmonton
Galaxy Tile & Stone,Edmonton,craft:stonemason,,,,,,OSM_Auto,scraped,5.0,53.4754228,-113.4896223,2025-09-09T16:46:26.236179,stone_masonry,5.0,Galaxy Tile & Stone provides stone masonry services in Edmonton.,heuristic,,Galaxy Tile & Stone|Edmonton
Edmonton Granite Memorials,Edmonton,craft:stonemason,,,,,,OSM_Auto,scraped,5.0,53.5977032,-113.5821406,2025-09-09T16:46:26.236179,stone_masonry,5.0,Edmonton Granite Memorials provides stone masonry services in Edmonton.,heuristic,,Edmonton Granite Memorials|Edmonton
Derrick Dodge (Service),Edmonton,building:material:stone,,,,6311 104 Street NW,,OSM_Auto,scraped,5.0,53.5005895,-113.4964656,2025-09-09T16:46:38.049151,stone_masonry,5.0,Derrick Dodge (Service) provides stone masonry services in Edmonton.,heuristic,,Derrick Dodge (Service)|Edmonton
Dollarama,Edmonton,construction:yes,,,,,,OSM_Auto,scraped,5.0,53.3589983,-113.415941,2025-09-09T16:46:58.077430,construction,5.0,Dollarama provides construction services in Edmonton.,heuristic,,Dollarama|Edmonton
Blatchford Gate station,Edmonton,construction:yes,,,,,,OSM_Auto,scraped,5.0,53.5769462,-113.5104149,2025-09-09T16:46:58.077430,construction,5.0,Blatchford Gate station provides construction services in Edmonton.,heuristic,,Blatchford Gate station|Edmonton
Heritage Valley School,Edmonton,construction:yes,,,,,,OSM_Auto,scraped,5.0,53.4074737,-113.5499474,2025-09-09T16:46:58.077430,construction,5.0,Heritage Valley School provides construction services in Edmonton.,heuristic,,Heritage Valley School|Edmonton
Knox Loop SW,Edmonton,construction:yes,,,,,,OSM_Auto,scraped,5.0,53.4140371,-113.6382801,2025-09-09T16:46:58.077430,construction,5.0,Knox Loop SW provides construction services in Edmonton.,heuristic,,Knox Loop SW|Edmonton
Milliken Farms,Markham,shop:hardware,+1 (905) 477-4211,,millikenfarm.ca,4266 Steeles Ave E,,OSM_Auto,scraped,10.0,43.8242332,-79.3078527,2025-09-09T02:33:54.162372,general_contractor,10.0,Milliken Farms provides general contractor services in Markham.,heuristic,,Milliken Farms|Markham
Kanata Stoneworks,Ottawa,craft:stonemason,,,,44 Iber Road,,OSM_Auto,scraped,5.0,45.2804807,-75.9092818,2025-09-09T16:47:05.514147,stone_masonry,5.0,Kanata Stoneworks provides stone masonry services in Ottawa.,heuristic,,Kanata Stoneworks|Ottawa
DMA Masonry,Ottawa,craft:stonemason,,,,56 Bentley Avenue,,OSM_Auto,scraped,5.0,45.3331966,-75.7170664,2025-09-09T16:47:05.514147,stone_masonry,5.0,DMA Masonry provides stone masonry services in Ottawa.,heuristic,,DMA Masonry|Ottawa
Bob's Carpentry Service,Ottawa,craft:carpenter,+1 (613) 258-4959,,,,,OSM_Auto,scraped,7.0,45.0323684,-75.6069052,2025-09-09T16:47:10.865293,general_contractor,8.0,Bob's Carpentry Service provides general contractor services in Ottawa.,heuristic,,Bob's Carpentry Service|Ottawa
Ottawa Tool Library,Ottawa,craft:carpenter,+1 (613) 868-0178,,https://ottawatoollibrary.com/,877 Boyd Avenue,,OSM_Auto,scraped,10.0,45.3758732,-75.7500914,2025-09-09T16:47:10.865293,general_contractor,10.0,Ottawa Tool Library provides general contractor services in Ottawa.,heuristic,,Ottawa Tool Library|Ottawa
Cabinet Tech,Ottawa,craft:carpenter,,,,3205 Swansea Crescent,,OSM_Auto,scraped,5.0,45.3826648,-75.6053679,2025-09-09T16:47:10.865293,general_contractor,5.0,Cabinet Tech provides general contractor services in Ottawa.,heuristic,,Cabinet Tech|Ottawa
Muskoka Cabinet Company,Ottawa,craft:carpenter,,,,2515 St-Laurent Boulevard,,OSM_Auto,scraped,5.0,45.3794982,-75.6304863,2025-09-09T16:47:10.865293,general_contractor,5.0,Muskoka Cabinet Company provides general contractor services in Ottawa.,heuristic,,Muskoka Cabinet Company|Ottawa
DIY Cabinet Warehouse,Ottawa,craft:carpenter,,,,2285 Gladwin Crescent,,OSM_Auto,scraped,5.0,45.4039576,-75.6235501,2025-09-09T16:47:10.865293,general_contractor,5.0,DIY Cabinet Warehouse provides general contractor services in Ottawa.,heuristic,,DIY Cabinet Warehouse|Ottawa
Rideau Hall,Ottawa,building:material:stone,,,,1 Sussex Drive,,OSM_Auto,scraped,5.0,45.4443561,-75.6855232,2025-09-09T16:47:18.274176,stone_masonry,5.0,Rideau Hall provides stone masonry services in Ottawa.,heuristic,,Rideau Hall|Ottawa
First Baptist Church Ottawa,Ottawa,building:material:stone,+1 (613) 234-3261,,https://firstbaptistottawa.ca/,140 Laurier Avenue West,,OSM_Auto,scraped,10.0,45.4207295,-75.6931621,2025-09-09T16:47:18.274176,stone_masonry,10.0,First Baptist Church Ottawa provides stone masonry services in Ottawa.,heuristic,,First Baptist Church Ottawa|Ottawa
Fairmont Château Laurier,Ottawa,building:material:stone,,,,1 Rideau Street,,OSM_Auto,scraped,5.0,45.4255846,-75.6952241,2025-09-09T16:47:18.274176,stone_masonry,5.0,Fairmont Château Laurier provides stone masonry services in Ottawa.,heuristic,,Fairmont Château Laurier|Ottawa
Musée canadien de l'histoire,Ottawa,building:material:stone,,,https://www.museedelhistoire.ca/,100 Rue Laurier,,OSM_Auto,scraped,8.0,45.429141,-75.7089629,2025-09-09T16:47:18.274176,stone_masonry,9.0,Musée canadien de l'histoire provides stone masonry services in Ottawa.,heuristic,,Musée canadien de l'histoire|Ottawa
Édifice de la muséologie du MCH,Ottawa,building:material:stone,,,,120 Rue Laurier,,OSM_Auto,scraped,5.0,45.4305143,-75.7086944,2025-09-09T16:47:18.274176,stone_masonry,5.0,Édifice de la muséologie du MCH provides stone masonry services in Ottawa.,heuristic,,Édifice de la muséologie du MCH|Ottawa
Fatboys Southern Smokehouse,Ottawa,building:material:wood,,,,34 Murray Street,,OSM_Auto,scraped,5.0,45.4289005,-75.694776,2025-09-09T16:47:34.225291,general_contractor,5.0,Fatboys Southern Smokehouse provides general contractor services in Ottawa.,heuristic,,Fatboys Southern Smokehouse|Ottawa
A&A Masonry Inc.,Toronto,craft:stonemason,,,https://aamasonry.ca/,33 Billingham Road,,OSM_Auto,scraped,8.0,43.6330145,-79.5499421,2025-09-09T02:12:03.155550,stone_masonry,9.0,A&A Masonry Inc. provides stone masonry services in Toronto.,heuristic,,A&A Masonry Inc.|Toronto
C.B. Marblecraft,Toronto,craft:stonemason,+1 (416) 741-1585,info@cbmarblecraft.com,http://cbmarblecraft.com/,17 Airview Road,,OSM_Auto,scraped,12.0,43.72056,-79.5753131,2025-09-09T02:12:03.155572,stone_masonry,10.0,C.B. Marblecraft provides stone masonry services in Toronto.,heuristic,,C.B. Marblecraft|Toronto
Woodbecker Inc,Toronto,craft:carpenter,+1 (416) 364-8436,,https://woodbecker.com,21 Mansion Avenue,,OSM_Auto,scraped,10.0,43.6909935,-79.2818092,2025-09-09T02:12:06.638981,general_contractor,10.0,Woodbecker Inc provides general contractor services in Toronto.,heuristic,,Woodbecker Inc|Toronto
Professional Roofers Toronto,Toronto,craft:roofer,,,https://professionalrooferstoronto.ca/,,,OSM_Auto,scraped,8.0,43.7657601,-79.5563948,2025-09-09T02:12:22.669342,general_contractor,9.0,Professional Roofers Toronto provides general contractor services in Toronto.,heuristic,,Professional Roofers Toronto|Toronto
Coverall Roofing,Toronto,craft:roofer,+1 (647) 470-4076,,https://coverallroofing.ca/,1620a Dupont Street,,OSM_Auto,scraped,10.0,43.6650817,-79.4550053,2025-09-09T02:12:22.669367,general_contractor,10.0,Coverall Roofing provides general contractor services in Toronto.,heuristic,,Coverall Roofing|Toronto
Can-Sky Roofing & Sheet Metal Incorporated,Toronto,craft:roofer,+1 (416) 763-5131,info@canskyroofing.com,https://www.canskyroofing.com/,26 Taber Road,,OSM_Auto,scraped,12.0,43.7191947,-79.5751307,2025-09-09T02:12:22.669372,general_contractor,10.0,Can-Sky Roofing & Sheet Metal Incorporated provides general contractor services in Toronto.,heuristic,,Can-Sky Roofing & Sheet Metal Incorporated|Toronto
Aspen Ridge Homes,Toronto,office:construction_company,,,,,,OSM_Auto,scraped,5.0,43.8307212,-79.4809507,2025-09-09T02:12:37.449394,construction,5.0,Aspen Ridge Homes provides construction services in Toronto.,heuristic,,Aspen Ridge Homes|Toronto
Canadian Stucco,Toronto,office:construction_company,+1 (416) 635-5373,info@canadianstucco.ca,https://www.canadianstucco.ca/,130 Lepage Ct,,OSM_Auto,scraped,12.0,43.760395,-79.4820875,2025-09-09T02:12:37.449441,construction,10.0,Canadian Stucco provides construction services in Toronto.,heuristic,,Canadian Stucco|Toronto
Green Heating and Air,Toronto,office:construction_company,+1 (416) 627-7724,info@greenheatingandair.ca,https://www.greenheatingandair.ca/,1373 Bathurst Street,,OSM_Auto,scraped,12.0,43.6804,-79.4170566,2025-09-09T02:12:37.449447,construction,10.0,Green Heating and Air provides construction services in Toronto.,heuristic,,Green Heating and Air|Toronto
