municipality,population
Ardendale,0
Ardmore,0
Ardness,0
Ardoch,0
Ardoise,0
Ardrossan,0
Ardtrea,0
Arelee,10
Argenta,0
Argentia Beach,0
Argyle,0
Argyle,0
Argyle Head,0
Argyle Park,0
Argyle Sound,0
Arichat,0
Arisaig,0
Ariss,0
Arkell,0
Arklan,0
Arlington,0
Arlington West,0
Arlington Woods,0
Armbro Heights,0
Armdale,0
Armit,0
Armitage,0
Armley,0
Armour Heights,0
Armstrong,0
Armstrong,0
Armstrong,5323
Armstrong Mills,0
Armstrongs Corners,0
Armstrong Station,0
Arner,0
Arnheim Place,0
Arnold,0
Arnold,0
Arnold's Cove,0
Arnott,0
Arnprior,8795
Arntfield,0
Aroland,0
Arpin,0
Arran,0
Arranvale,0
Arras,133
Arrow Creek,0
Arrowview Heights,0
Arrowwood,0
Arseneault,0
Arthur,0
Artland,0
Arva,0
Val-des-Sources,7088
Ascot Corner,0
Ash,0
Ashburnham,0
Ashby,0
Ashby Mill,0
Ashcroft,1558
Ashdale,0
Ashdale,0
Ashern,0
Ashgrove,0
Ashmont,0
Ashmore,0
Ashton,200
Ashton Creek,0
Ashton Station,0
Ashville,0
Ashworth,0
Aspdin,0
Aspen,0
Aspen Cove,0
Aspotogan,0
Aspy Bay,0
Asquith,0
Asquith,0
Asselstine,0
Assiniboia,0
Assiniboia,2389
Assiniboia East,0
Assumption,0
Assumption,0
Aston-Jonction,0
Aston Station,0
Astorville,0
Atchelitz,0
Athabasca,2965
Athalmer,0
Atha Road,0
Athelstan,0
Athens,982
Atherley,0
Atherton,0
Athlone,0
Athol,0
Athol,0
Athol Road,0
Athol Station,0
Atikameg,0
Atikokan,2753
Atironto,0
Atkinson,0
Atkinson,0
Atlanta,0
Atlantic,0
Atlin,0
Atluck,0
Atmore,0
Attawapiskat,1501
Attercliffe,0
Attercliffe Station,0
Atwater,0
Atwood,0
Atwoods Brook,0
Aubrey,0
Auburn,0
Auburndale,0
Auburn Mills,0
Auden,0
Auden Park,0
Audet,0
Audley,0
Augsburg,0
Aulac,0
Aulds Cove,0
Aupaluk,0
Aurora,55445
Austin,0
Austin,0
Australian,0
Authier,0
Authier-Nord,0
Avalon,0
Avola,0
Avon,0
Avon,0
Avonbank,0
Avondale,0
Avondale,0
Avondale,0
Avondale Station,0
Avonhurst,0
Avonlea,0
Avonport,0
Avonport Station,0
Avonry,0
Avonton,0
Axe Lake,0
Ayer's Cliff,0
Aylesbury,0
Aylesford,0
Aylesford East,0
Aylesford Mountain,0
Aylmer,7492
Aylsham,0
Aylsworth,0
Aylwin,0
Aylwin Station,0
Ayr,5383
Ayton,0
Azilda,4663
Azu Ski Village,0
Babys Point,0
Baccaro,0
Back Bay,0
Back Centre,0
Back Clarendon,0
Bacon's Bay,0
Baddeck,818
Baddeck Bay,0
Baddeck Bridge,0
Baddow,0
Baden,4940
Badenoch,0
Badger,682
Badger,0
Badger's Corners,0
Badjeros,0
Bagdad,0
Bagnall,0
Baie-Comeau,21536
Baie-de-l'Ours,0
Baie-des-Brises,0
Baie-des-Capucins,0
Baie-des-Ha! Ha!,0
Baie-des-Homards,0
Baie-de-Vaudreuil,0
Baie-Dorval,0
Baie-du-Febvre,0
Baie-du-Lac,0
Baie-D'Urfé,3902
Baie-James,0
Baie-Johan-Beetz,0
Baie-Noire,0
Baie-Rouge,0
Baie-Saint-Ludger,0
Baie-Trinité,419
Baie Verte,0
Baie Verte,0
Baie Verte Road,0
Baildon,0
Bailey,0
Bailey Corners,0
Baileys Brook,0
Baillie,0
Baine Harbour,0
Bains Corner,0
Baird,0
Bakers Settlement,0
Balaclava,0
Balaclava,0
Bala Park,0
Balcarres,0
Balderson,0
Baldonnel,0
Baldoon,0
Bald Rock,0
Baldur,0
Baldwin,0
Baldwin Mills,0
Baldwins Bridge,0
Baldwinton,0
Baldy Hughes,0
Balfour,493
Balfron,0
Balgonie,1756
Baljennie,0
Ballantrae,3223
Ballantynes Cove,0
Balla Philip,0
Ballinafad,0
Balls Creek,3400
Ballycanoe,0
Ballycroy,0
Ballydown Beach,0
Ballyduff,0
Ballymote,0
Balmoral,0
Balmoral,0
Balmoral Beach,0
Balmoral Mills,0
Balmoral Park,0
Balmy Beach,0
Balsam,0
Balsam Creek,0
Balsam Grove,0
Balsam Hill,0
Baltics Corners,0
Baltimore,0
Baltimore,0
Balvenie,0
Bamfield,251
Banbury,0
Bancroft,0
Bancroft,4065
Banda,0
Banff,8305
Bangor,0
Bangor,0
Bangor Lodge,0
Bangs Falls,0
Bankeir,0
Bankfield,0
Banks,0
Banner,0
Bannockburn,0
Bapaume,0
Barachois,0
Barb,0
Barbers Bay,0
Barclay,0
Bar-de-Cocagne,0
Bardsville,0
Barford,0
Bar Haven,0
Baring,0
Barkers Point,0
Barkerville,0
Barkhouse Settlement,0
Barkmere,87
Barkway,0
Barlochan,0
Barlow Creek,0
Barnaby River,0
Barnesdale,0
Barnesville,0
Barnet,0
Barnettville,0
Barneys Brook,0
Barneys River Station,0
Barnhart,0
Barnhartvale,0
Barnston,0
Barnston-Ouest,0
Barnwell,0
Barons,0
Barony,0
Bar Point,0
Barrachois,0
Barrachois,0
Barrachois Harbour,0
Barrage-McLaren,0
Barrage-Sainte-Marguerite,0
Barra Head,0
Barraute,1180
Barrett Chute,0
Barrett Lake,0
Barretville,0
Barrhaven,0
Barrhead,4579
Barrie,147829
Barrieau,0
Barrière,1765
Barrington,0
Barrington,0
Barrington Head,0
Barrington Passage,0
Barrington West,0
Bar River,0
Bar Road,0
Barronsfield,0
Barrow Bay,0
Barrows,0
Barrowtown,0
Barrydowne,0
Barrymere,0
Barry's Bay,0
Barrys Corner,0
Barryvale,0
Barsa Subdivision,0
Barss Corner,0
Barter Settlement,0
Bartholomew,0
Bartletts Mills,0
Barton,0
Bartonville,0
Barvas,0
Barville,0
Barwick,0
Bas-de-Sainte-Rose,0
Base Line Road,0
Base-Radar,0
Bashaw,0
Basin Depot,0
Basingstoke,0
Basin Mines,0
Basin Road,0
Bassano,1206
Bass Creek,0
Basse-Aboujagane,0
Bassin,0
Bass Lake Park,0
Bass River,0
Bass River,0
Bass River Point,0
Basswood Ridge,0
Bastarache,0
Bateman,0
Batemans Mills,0
Bateston,0
Bath,1180
Batiscan,958
Batoche,0
Batteau,0
Batteaux,0
Battleford,0
Battle Harbour,0
Battrum,0
Bauline,0
Bawlf,0
Baxters Corners,0
Baxters Harbour,0
Bayard,0
Bay Beach,0
Bay Bulls,0
Bay de Verde,0
Bayfield,0
Bayfield,0
Bayhead,0
Bay L'Argent,0
Baynes Lake,0
Bayport,0
Bayridge,0
Bay Road,0
Bay Road Valley,0
Bay Roberts,6012
Bayshore,0
Bay Shore,0
Bayshore Estates,0
Bayside,0
Bayside,0
Bay St. George South,1103
Bay St. Lawrence,0
Baysville,0
Bayswater,0
Bayswater,0
Bayswater,0
Baytona,0
Bayview,0
Bayview,0
Bayview,0
Bay View,0
Bay View,0
Bay View,0
Bayview Beach,0
Bayview Park,0
Baywood Park,0
Beachburg,0
Beachcomber Bay,0
Beach Grove,0
Beach Meadows,0
Beach O'Pines,0
Beachside,0
Beachville,0
Beacon Heights,0
Beacon Hill,0
Beacon Hill North,0
Beacon Hill South,0
Beaconia,0
Beaconsfield,0
Beaconsfield,0
Beaconsfield,19194
Beaconsfield,0
Beaconwood,0
Beadle,0
Beales Mills,0
Bealton,0
Beamsville,0
Bearbrook,0
Bear Cave,0
Bear Cove,0
Bear Cove,0
Bear Creek,0
Beardmore,0
Bear Island,0
Bear Island,0
Bear Lake,0
Bear Lake,0
Bear Line,0
Béarn,0
Bear Point,0
Bear River,0
Bear River East,0
Bear River Station,0
Bear Valley,0
Beatrice,0
Beatty,0
Beatty,0
Beaucage,0
Beaucanton,0
Beaudoin-Centre,0
Beaufield,0
Beauharnois,11918
Beaulac-Garthby,0
Beauly,0
Beaumaris,0
Beaumonde Heights,0
Beaumont,0
Beaumont,0
Beaumont,7366
Beausejour,3126
Beauval,0
Beauvallon,0
Beaux-Rivages--Lac-des-Écorces--Val-Barrette,0
Beaver Bank,0
Beaver Brook,0
Beaver Brook,0
Beaver Cove,0
Beaver Cove,0
Beaver Creek,0
Beaver Crossing,0
Beaver Crossing,0
Beaverdale,0
Beaver Dam,0
Beaver Dams,0
Beaver Flat,0
Beaver Harbour,0
Beaver Lake,0
Beaver Lake,0
Beaver Lake,0
Beaverley,0
Beaverlodge,2219
Beaver Meadow,0
Beaver Meadow,0
Beaver Point,0
Beaver River,0
Beavers Corner,0
Beaverton,0
Bécancour,11134
Bechard,0
Becher,0
Becketts Bridge,0
Becketts Creek,0
Becketts Landing,0
Beckstead,0
Beckwith,0
Bedec,0
Bedell,0
Bedeque,0
Bedford,0
Bedford,0
Bedford,2684
Bedford,0
Bedford,0
Bedford Mills,0
Bedford Park,0
Beecham Settlement,0
Beech Corners,0
Beech Grove,0
Beech Hill,0
Beech Hill,0
Beech Hill Farms,0
Beechmont,0
Beechmont North,0
Beechmount,0
Beechville,0
Beechwood,0
Beechwood,0
Beechwood Park,0
Beechy,0
Beersville,0
Beeton,4151
Bégin,0
Beinn Bhreagh,0
Beiseker,0
Belair,0
Bel Air Heights,0
Bel Air Park,0
Belanger,0
Belangers Corner,0
Bel Ayr Park,0
Belbutte,0
Belcarra,687
Belcher Street,0
Belcourt,0
Belcreft Beach,0
Belfast,0
Belfast,0
Belford,0
Belfountain,0
Belgiumtown,0
Belhaven,0
Bella Bella,1193
Bellamys,0
Bellamys Mill,0
Bellburns,0
Bellefeuille,0
Bellefeuille,0
Belleisle,0
Belleisle Creek,0
Belle-Marche,0
Belleoram,0
Belle Plaine,0
Bellerive,0
Belle River,0
Belleterre,350
Belleview Beach,0
Belleville,0
Belleville,50716
Belleville North,0
Belleville South,0
Bellevue,0
Bellevue,0
Bellevue,0
Bellevue,0
Bell Ewart,0
Bell Falls,0
Bell Grove,0
Bellheck,0
Bellis,0
Belliveaus Cove,0
Belliveau Village,0
Bell Neck,0
Bell Rapids,0
Bells Corners,0
Bells Corners,9272
Bells Crossing,0
Bellsite,0
Bells Mills,0
Bellwood,0
Bellwood,0
Belmeade,0
Belmina,0
Belmont,0
Belmont,0
Belmont,0
Belmont,1140
Belmont,0
Belmont Park,0
Belmore,0
Belnan,0
Beloeil,18927
Belton,0
Belwood,0
Belyeas Cove,0
Benacadie,0
Benacadie West,0
Benalto,0
Bend,0
Ben Eoin,0
Bengough,332
Benito,0
Ben Lomond,0
Ben-My-Chree,0
Bennies Corners,0
Bennington,0
Bennington Heights,0
Benny,0
Benoit,0
Bensfort Corners,0
Benson,116
Benson Corner,0
Bentinck,0
Bentley,1024
Benton,0
Benton,0
Bentpath,0
Bent River,0
Benvoulin,0
Berens River,0
Bergland,0
Bergman,0
Berichan,0
Berkshire Village,0
Bernatchez,0
Berriedale,0
Berry,0
Berry Mills,0
Berry Mills Heights,0
Berryton,0
Berryton,0
Berthierville,4411
Bertwell,0
Berwick,2509
Berwick,0
Berwick North,0
Berwick West,0
Berwyn,577
Berylvale,0
Bessemer,0
Bestwick,0
Béthanie,0
Bethany,0
Bethany,500
Bethel,0
Bethel,0
Bethel,0
Bethel,0
Bethel,0
Bethesda,0
Bethesda,0
Bethesda,0
Bethune,0
Bethune Bush,0
Betula Beach,0
Beulah,0
Beulah,0
Bevan,0
Beveridge Locks,0
Beverley,0
Beverley Acres,0
Beverley Hills,0
Beverley Isles,0
Bexley,0
Bible Hill,0
Bickerton West,0
Bickford,0
Bide Arm,0
Bidwell,0
Bield,0
Bieman's Corners,0
Bienfait,0
Bienvenu,0
Big Baddeck,0
Big Bank,0
Big Bar Creek,0
Big Bay Point,0
Big Beach,0
Big Bras d'Or,0
Big Brook,0
Big Brook,0
Big Brook,0
Big Cedar,0
Big Chute,0
Big Cove,0
Big Cove,0
Big Eddy,0
Bigelow,0
Big Farm,0
Big Fork,0
Biggar,2068
Big Glace Bay,0
Big Harbour,0
Big Intervale,0
Big Intervale Cape North,0
Big Island,0
Big Lake,0
Big Lorraine,0
Big Lots,0
Big Marsh,0
Big Marsh,0
Bigney,0
Big Pond,0
Big Ridge,0
Big River,666
Big Shell,0
Big Tracadie,0
Big Valley,0
Bigwin,0
Bigwood,0
Billings,0
Billings Bridge,0
Bill's Corners,0
Billtown,0
Bilodeau,0
Bindloss,0
Binkham,0
Binscarth,0
Birchcliff,211
Birch Cliff,0
Birch Cove,0
Birch Cove,0
Birch Grove,0
Birch Haven,0
Birch Hill,0
Birch Hill,0
Birch Hills,0
Birch Island,0
Birch Island,0
Birchland Manor,0
Birchmount Park,0
Birch Plain,0
Birch Point,0
Birch Ridge,0
Birch River,144
Birchton,0
Birchtown,0
Birchwood,0
Birchy Bay,0
Birchy Head,0
Bird Cove,0
Birdell,0
Birdsalls,0
Bird's Point,0
Birdton,0
Birge Mills,0
Birkendale,0
Birmingham,0
Birnam,0
Birr,0
Birsay,46
Birtle,0
Biscay Bay,0
Biscotasing,0
Bishop Corners,0
Bishop's Cove,0
Bishop's Falls,0
Bishopsgate,0
Bishopville,0
Bismarck,0
Bisseltown,0
Bissett,0
Bissett Creek,0
Bittern Lake,0
Bjorkdale,0
Black Avon,0
Black Bank,0
Black Bay,0
Black Bridge,0
Black Brook,0
Blackburn Hamlet,8173
Black Creek,0
Black Creek,0
Black Creek,0
Black Diamond,3663
Black Donald,0
Blacketts Lake,0
Blackfalds,9328
Blackheath,0
Black Horse Corner,0
Black Lake,0
Blackland,0
Black Pines,0
Black Point,0
Black Point,0
Blackpool,0
Blackpool,0
Black Rapids,0
Black River,0
Black River,0
Black River,0
Black River,0
Black River,0
Black River Road,0
Black River Road,0
Black Rock,0
Black Rock,0
Black Rock,0
Blacks Corners,0
Blacks Corners,0
Blacks Corners,0
Blacks Harbour,0
Blackstock,781
Blackstone,0
Blackstone Lake,0
Blackville,0
Blackwater,0
Blackwell,0
Bladworth,0
Blaeberry,0
Blaine Lake,0
Blainville,46493
Blairhampton,0
Blairmore,1522
Blairs Settlement,0
Blairton,0
Blake,0
Blakeney,0
Blaketown,605
Blanchards Hill,0
Blanchard's Landing,0
Blanche,0
Blanche,0
Blanche-Mills,0
Blanc-Sablon,0
Blandford,0
Blaney Ridge,0
Blanshard,0
Blantyre,0
Blenheim,0
Blessington,0
Blewett,0
Blezard,0
Blind Bay,2369
Blind Channel,0
Blind River,3422
Blind River,0
Block 14,0
Blockhouse,0
Blomidon,0
Bloomfield,523
Bloomfield,0
Bloomfield,0
Bloomfield Ridge,0
Bloomington,0
Bloomington,0
Bloomington,0
Bloomsburg,0
Blossom Park,0
Blount,0
Blubber Bay,0
Blucher,0
Blucher Hall,0
Blueberry Creek,0
Blue Church,0
Blue Hills,0
Blue Mountain,0
Blue Mountain,0
Blue Mountain,0
The Blue Mountains,0
Blue River,175
Blue Rocks,0
Blue Sea,0
Bluesky,0
Blues Mills,0
Blue Springs,0
Bluewater,7044
Bluewater Beach,0
Bluffton,0
Blumenheim,0
Blumenhof,0
Blumenort,0
Blyth,0
Blytheswood,0
Bobs Lake,0
Bocabec,0
Bocabec Cove,0
Bodmin,0
Bodo,0
Bogart,0
Bogarttown,0
Bogies Beach,0
Bogton,0
Boharm,0
Boileau,0
Bois-Blanc,0
Boisbriand,26483
Boisdale,0
Bois-des-Acadiens,0
Bois-des-Filion,8383
Bois-Franc,0
Boisjoli,0
Boissevain,1656
Boisville,0
Boland's Bay,0
Bolger,0
Bolingbroke,0
Bolkow,0
Bolsover,0
Bolton,0
Bolton Centre,0
Bolton-Est,0
Bolton Forest,0
Bolton Glen,0
Bolton-Ouest,0
Bon Accord,1529
Bon Air,0
Bonarlaw,0
Bonavista,3448
Bona Vista,0
Bondiss,0
Bon Echo,0
Bongard,0
Bongard Corners,0
Bonnechere,0
Bonne-Espérance,0
Bonnet Hill,0
Bonney Road,0
Bonnie Beach,0
Bonnington Falls,0
Bonny River,0
Bonnyville,5975
Bonnyville Beach,0
Bonsecours,0
Bon-Secours,0
Bonshaw,0
Bookton,0
Boom Road,0
Booth,0
Booth Landing,0
Boothroyd,0
Boothville,0
Bordeaux,0
Borden,0
Borden,0
Borden,0
Borden-Carleton,788
Bordenwood,0
Borgels Point,0
Borneo,0
Bornholm,0
Bornish,0
Borups Corners,0
Boscobel,0
Boskung,0
Boston,0
Boston,0
Boston Bar,166
Boston Creek,0
Boston Mills,0
Boswarlos,0
Boswell,0
Bosworth,0
Botany,0
Botha,0
Bothwell,856
Bothwell's Corner,0
Botsford Portage,0
Botwood,2875
Boucherville,39062
Bouchette,695
Bouchie Lake,0
Boucks Hill,0
Bouctouche,2361
Boudreau,0
Boudreau-Corners,0
Boudreau Village,0
Boudreauville,0
Boularderie,0
Boularderie Centre,0
Boularderie East,0
Boularderie West,0
Boulderwood,0
Boulogne,0
Boulter,0
Boundary Bay,0
Boundary Creek,0
Bourdages Corner,0
Bourdeau,0
Bourgeois,0
Bourgeois Mills,0
Bourkes,0
Bourlamaque,0
Boutiliers Point,765
Bowden,0
Bowen Corner,0
Bowen Island,4256
Bowermans,0
Bowers Beach,0
Bow Island,2025
Bowling Green,0
Bowman,0
Bowmanville,39371
Bown,0
Bowood,0
Bowser,0
Bowsman,0
Box Alder,0
Box Grove,0
Boyds,0
Boyle,0
Boyle,0
Boylston,0
Boyne,0
Boynton,0
Bracebridge,16010
Bracken,0
Brackendale,0
Brackenrig,0
Brackley,0
Brada,0
Bradburn Subdivision,0
Bradens Bay,0
Bradford,0
Bradley,0
Bradley,0
Bradlo,0
Bradner,3213
Brador,0
Bradshaw,0
Bradshaw,0
Bradwell,0
Brady Lake,0
Braeheid Survey,0
Braemar,0
Braemar Heights,0
Braemar Park,0
Braeshore,0
Braeside,0
Braeside,0
Braeside,0
Bramalea,0
Bramalea Woods,0
Bramber,0
Brampton,656480
Branch,0
Branch LaHave,0
Brandon,48859
Brandon,0
Brandy Point,0
Brant,34415
Brantford,104688
Brant Hills,0
Bras d'Or,0
Brass Hill,0
Bray Lake,0
Brazeau,0
Brazeau Dam,0
Brazil Lake,0
Breac Brook,0
Breadalbane,0
Breadalbane,0
Breadalbane,0
Breau Creek,0
Breault,0
Breau-Village,0
Brechin,0
Brechin Beach,0
Brechin Point,0
Breckenridge,0
Bredenbury,0
Bremen,0
Brennan's Hill,0
Brent,0
Brentha,0
Brenton,0
Brent's Cove,0
Brentwood,0
Brentwood Bay,0
Bresaylor,0
Breslau,500
Brest,0
Bretagneville,0
Breton,0
Breton Cove,0
Brevoort Park,0
Brewer Lake,0
Brewers Mills,0
Brewers Mills,0
Briargreen,0
Briar Lake,0
Brickley,0
Brickton,0
Brickyard Road,0
Bridal Falls,382
Bridesville,0
Bridgedale,0
Bridge End,0
Bridgeford,0
Bridge Lake,0
Bridgenorth,0
Bridgeport,0
Bridgeport,0
Bridgetown,0
Bridgeview,0
Bridgeview,0
Bridgeview,0
Bridgeview Survey,0
Bridgeville,0
Bridgewater,8532
Bridlewood,0
Briercrest,0
Brier Hill,0
Brier Industrial Estates,0
Brierly Brook,0
Brierly Brook Back Road,0
Brigade Lake,0
Brig Bay,0
Briggs Corner,0
Brigham,0
Brighton,0
Brighton,0
Brighton,0
Brighton,0
Brighton,0
Brighton Beach,0
Brighton Beach,0
Brightside,0
Brigus,0
Brill,0
Brilliant,0
Brimstone,0
Brinkman's Corners,0
Brinsley,0
Brisay,0
Brisbane,0
Brisco,0
Brise-du-Lac,0
Brisson,0
Bristol,0
Bristol Mines,0
Bristol Ridge,0
Britainville,0
Britannia,0
Britannia,0
Britannia Bay,0
Britannia Beach,0
Britannia Heights,0
Britannia Road,0
British Settlement,0
Britt,0
Britton,0
Broadacres,0
Broadbent,0
Broad Cove,0
Broad Cove Banks,0
Broadview,0
Broadview,0
Broadway,0
Brochet,0
Brock,0
Brocket,0
Brock Gardens,0
Brockley,0
Brock Road,0
Brocksden,0
Brockville,23886
Brockway,0
Broderick,0
Broders Annex,0
Brodeur,0
Brodhagen,0
Brodie,0
Brodie,0
Brome,0
Brome-Centre,0
Bromhead,0
Bromley,0
Bromont,3895
Bromptonville,0
Bronson,0
Bronson Settlement,0
Brookbury,0
Brook Cove,0
Brookdale,0
Brookdale,0
Brooke,0
Brooke,0
Brookfield,0
Brookfield,0
Brookland,0
Brooklands,0
Brooklet,0
Brooklin,0
Brookline,0
Brooklyn,0
Brooklyn,0
Brooklyn,0
Brooklyn,0
Brooklyn Corner,0
Brooklyn Road,0
Brooklyn Street,0
Brook Road,0
Brooks,14451
Brooksby,0
Brooksdale,0
Brookside,0
Brookside,0
Brookside,0
Brooks Landing,0
Brooks Mill,0
Brookvale,0
Brookvale,0
Brook Village,0
Brookville,0
Brookville,0
Brookville,0
Brossard,0
Brossard,69575
Brosseau,0
Broughdale,0
Broulan Reef,0
Brouse,0
Brower,0
Brown House Corner,0
Browning,0
Browning Island,0
Brownlee,0
Brownrigg,0
Browns Brae,0
Brownsburg-Chatham,6664
Browns Corner,0
Brown's Corners,0
Browns Corners,0
Brownsdale,0
Browns Flat,0
Brown's Hill,0
Brownsville,0
Browns Yard,0
Bruce,0
Brucedale,0
Bruce Farm,0
Bruce Mines,0
Bruces,0
Bruceton,0
Brudenell,0
Brudenell,0
Bruderheim,0
Brule,0
Brule Point,0
Brule Shore,0
Brumsfield,0
Brunet,0
Brunkild,0
Brunner,0
Bruno,0
Brunskill,0
Brunswick,0
Brussels,1158
Bryanston,0
Bryants Corner,0
Bryant's Cove,0
Bryant's Landing,0
Bryenton,0
Bryson,0
Bryson,0
B-Say-Tah,0
Buchanan,0
Buchanan,0
Buchans,0
Buchans Junction,0
Buck Creek,0
Buckfield,0
Buckham's Bay,0
Buckhorn,0
Buckingham Heights,0
Buckinghorse River,0
Buck Lake,0
Bucklaw,0
Buckleys Corner,0
Buckley Settlement,0
Buctouche-Sud,0
Budd Mills,0
Buena Vista,0
Buena Vista,0
Buena Vista Park,0
Buffalo-Ankerite,0
Buffalo Creek,0
Buffalo Gap,0
Buffalo Head Prairie,0
Buffalo Narrows,1014
Buffalo Point,0
Buffalo Rock,0
Buford,0
Buick,0
Bulgers Corners,0
Buller,0
Buller Siding,0
Bull Moose Hill,0
Bullock,0
Bullocks Corners,0
Bulwer,0
Bulyea,0
Bunessan,0
Bunker Hill,0
Bunyan,0
Burchell Lake,0
Burchills Flats,0
Bur Creek,0
Burditt Lake,0
Burford,1615
Burgeo,1307
Burgerville,0
Burgess Mines,0
Burgoynes Cove,0
Burin,0
Burke Settlement,0
Burketon Station,0
Burks Corners,0
Burk's Falls,0
Burleigh Falls,0
Burlington,0
Burlington,0
Burlington,186948
Burlington Beach,0
Burnaby,0
Burnbrae,0
Burnet,0
Burnley,0
Burns,0
Burnside,0
Burnside,0
Burnside,0
Burnside,0
Burnside Heights,0
Burns Lake,1779
Burnstick Lake,0
Burnstown,0
Burntcoat,0
Burnt Cove,260
Burnt Creek,0
Burnt Hill,0
Burnt Hills,0
Burnt Island,0
Burnt Islands,0
Burpee,0
Burpees Corner,0
Burquitlam,14896
Burr,0
Burr,0
Burridge,0
Burriss,0
Burriss,0
Burritts Rapids,0
Burrows,0
Burstall,0
